No.,Bulan,Nilai Ekspor (US $),Berat Ekspor (KG),Nilai Impor (US $),Berat Impor (KG)
1,Januari,"19 173 699 043,36","27 176 531 455,73","18 211 103 488,00","12 525 388 397,00"
2,Februari,"20 472 894 279,18","44 630 366 469,31","16 638 511 813,00","13 643 754 535,00"
3,Maret,"26 497 477 726,13","61 009 058 930,60","21 962 417 654,00","17 890 856 389,00"
4,April,"27 322 284 675,60","55 744 554 534,32","19 757 449 353,00","15 311 997 567,00"
5,Mei,"21 509 825 822,05","51 078 811 698,32","18 609 287 096,00","13 695 896 141,00"
6,Juni,"26 150 115 171,99","55 379 269 969,52","21 003 853 585,00","15 849 221 401,00"
7,Juli,"25 563 196 494,36","58 873 597 980,57","21 345 030 399,00","15 106 273 518,00"
8,Agustus,"27 862 094 370,64","59 542 590 396,24","22 150 549 517,00","16 324 740 238,00"
9,September,"24 777 175 554,39","60 995 692 131,60","19 808 344 348,00","15 373 240 605,00"
10,Oktober,"24 728 444 384,48","60 949 225 784,49","19 135 352 916,00","15 085 178 245,00"
11,November,"24 094 037 088,31","57 159 651 753,17","18 962 094 932,00","14 983 782 996,00"
12,Desember,"23 827 858 043,97","54 788 095 309,51","19 863 061 497,00","17 445 166 404,00"
1,Januari,"15 300 168 401,83","52 594 533 333,10","13 329 901 020,00","13 078 332 805,00"
2,Februari,"15 255 398 398,45","47 636 989 300,89","13 264 974 634,00","12 378 562 385,00"
3,Maret,"18 398 414 762,13","50 524 633 458,96","16 787 511 490,00","17 281 282 068,00"
4,April,"18 474 131 706,88","49 061 313 898,62","16 204 338 764,00","15 359 269 116,00"
5,Mei,"16 908 015 508,43","51 750 618 405,05","14 234 815 276,00","14 618 029 219,00"
6,Juni,"18 547 744 863,51","52 712 714 180,45","17 218 457 483,00","15 690 996 581,00"
7,Juli,"19 369 596 670,95","55 266 605 966,05","15 263 122 650,00","13 883 775 439,00"
8,Agustus,"21 443 151 840,86","54 495 451 463,73","16 678 886 850,00","14 120 443 591,00"
9,September,"20 618 788 618,10","50 900 622 540,11","16 234 148 586,00","14 418 830 339,00"
10,Oktober,"22 090 984 014,33","56 525 781 312,65","16 293 616 090,00","14 353 729 490,00"
11,November,"22 845 364 125,29","50 280 024 693,20","19 328 188 076,00","15 208 908 997,00"
12,Desember,"22 357 720 667,68","49 918 547 181,81","21 352 018 156,00","17 367 172 373,00"
1,Januari,"13 636 412 653,62","50 900 144 920,20","14 268 720 284,00","12 141 682 743,00"
2,Februari,"14 042 089 243,23","49 671 209 459,93","11 548 100 132,00","13 059 584 031,00"
3,Maret,"14 031 292 077,89","54 068 776 030,33","13 352 176 374,00","14 432 183 255,00"
4,April,"12 159 824 545,01","45 172 672 643,65","12 535 233 221,00","15 051 046 827,00"
5,Mei,"10 452 625 424,79","42 236 217 598,43","8 438 627 383,00","10 084 426 066,00"
6,Juni,"12 006 813 612,70","46 387 784 702,64","10 760 317 981,00","11 505 323 617,00"
7,Juli,"13 689 902 558,81","46 069 923 524,57","10 464 299 676,00","11 323 464 029,00"
8,Agustus,"13 055 281 120,71","43 565 183 268,24","10 742 407 847,00","11 839 690 849,00"
9,September,"13 956 176 571,88","43 933 093 550,32","11 570 104 770,00","12 883 228 618,00"
10,Oktober,"14 363 443 251,43","47 117 842 845,64","10 786 016 684,00","12 091 546 513,00"
